ticket_id,text,category,priority,estimated_hours
TW_1,i understand i would like to assist you we would need to get you into a private secured link to further assist,general_inquiry,medium,3.2
TW_2,and how do you propose we do that,general_inquiry,medium,1.8
TW_3,i have sent several private messages and no one is responding as usual,general_inquiry,medium,2.3
TW_4,please send us a private message so that we can further assist you just click message at the top of your profile,general_inquiry,medium,3.2
TW_6,can you please send us a private message so that i can gain further details about your account,general_inquiry,medium,2.8
TW_8,is the worst customer service,general_inquiry,medium,1.5
TW_11,this is saddening to hear please shoot us a dm so that we can look into this for you kc,general_inquiry,medium,3.0
TW_12,you gonna magically change your connectivity for me and my whole family,general_inquiry,medium,2.2
TW_15,we understand your concerns and wed like for you to please send us a direct message so that we can further assist you aa,general_inquiry,medium,3.4000000000000004
TW_16,since i signed up with yousince day 1,general_inquiry,medium,1.8
TW_17,h there wed definitely like to work with you on this how long have you been experiencing this issue aa,general_inquiry,medium,3.0
TW_18,yall lie about your great connection 5 bars lte still wont load something smh,general_inquiry,medium,2.4000000000000004
TW_19,please send me a private message so that i can send you the link to access your account fr,general_inquiry,medium,2.9000000000000004
TW_20,whenever i contact customer support they tell me i have shortcode enabled on my account but i have never in the 4 years ive tried,general_inquiry,medium,3.5
TW_21,what information is incorrect jk,general_inquiry,medium,1.5
TW_22,would you like me to email you a copy of one since spectrum is not updating your training,general_inquiry,medium,2.8
TW_25,our department is part of the corporate office if youre particular area has gone to this format we were unawa,general_inquiry,medium,3.0
TW_26,i received this from your corporate office would you like a copy,general_inquiry,medium,2.2
TW_27,no thank you jk,general_inquiry,medium,1.4
TW_23,the correct way to do it is via an ocs account takeover and email consent form it does not need to be done in a local office,general_inquiry,medium,3.7
TW_24,that is incorrect information i have the form in front of me that is faxed overmaybe you need to maintain up to date information,general_inquiry,medium,3.4000000000000004
TW_28,the information pertaining to the account assumption is correct this does need to be done at a local outlet wit,general_inquiry,medium,3.0
TW_29,actually thats a broken link you sent me and incorrect information,general_inquiry,high,2.1
TW_30,hello my apologies for any frustrations or inconvenience id be happy to look into this for you mg,general_inquiry,medium,2.8
TW_31,yo your customer service reps are super nice but imma start trippin if yall dont get my service going,general_inquiry,medium,2.9000000000000004
TW_32,i apologize for the inconvenience i will be glad to assist you can you dm me your name and acct or phone jb,general_inquiry,medium,3.3000000000000003
TW_33,my picture on pretty much every day why should i pay 171 per month,general_inquiry,medium,2.4000000000000004
TW_34,help has arrived we are sorry to see that you are having trouble how can we help hsb,general_inquiry,medium,2.8
TW_35,i finally got someone that helped me thanks,general_inquiry,medium,1.8
TW_37,awesome if you ever need us we are just a tweet away hsb,general_inquiry,medium,2.3
TW_36,somebody from please help meeeeee im having the worst luck with your customer service,general_inquiry,medium,2.4000000000000004
TW_38,have your friend message us acm,general_inquiry,medium,1.6
TW_39,my friend is without internet we need to play videogames together please our skills diminish every moment without internetz,general_inquiry,medium,2.9000000000000004
TW_40,please follow and dm us so that we can look into this order hsb,general_inquiry,medium,2.4000000000000004
TW_41,what else can i provide they refuse to help me because they cannot validate the account,general_inquiry,medium,2.6
TW_43,we would not be able to verify anything without authenticating your account jay,general_inquiry,medium,2.3
